fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,221,87,7844,0,0,37646,0,4583,42.69844,99.0703532,0,0,132094,154434,0,145821,184487,8065,56.3719132,0,70,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,0,0,0,0,389,472,10182,0,0,149466,0,27579,182.48135,301.8616017,0,0,511028,654336,0,540250,685857,10571,119.3802517,0,40,0.83,10.78,0,NA
2025-2026,April,29,TAMIL NADU,2921,THENI,129802,0,0,0,0,30,21,2916,0,0,24745,0,165,34.57203,115.0599934,0,0,83453,101495,0,114248,135386,2946,80.4879634,0,35,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2925,SIVAGANGAI,431184,0,0,0,0,57,260,9722,0,0,45559,0,19,124.37409,170.9644803,0,0,185957,220754,0,201951,238281,9779,46.5903903,0,41,4.61,33.8,0,NA
2025-2026,April,29,TAMIL NADU,2926,TIRUNELVELI,245376,0,0,0,0,7,90,4845,0,0,33689,0,138,0,35.4029772,0,0,95729,112739,0,119722,138944,4852,35.4029772,0,30,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2927,THOOTHUKKUDI,275758,0,0,0,0,86,112,5551,0,0,58565,0,154,80.76864,170.6857313,0,0,149885,177236,0,170871,211678,5637,89.9170913,0,19,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2932,TIRUPPUR,223459,0,0,0,0,186,88,5235,0,0,62028,0,203,0,42.3175006,0,0,133584,158099,0,178585,229731,5421,42.3175006,0,49,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2934,Ranipet,282759,0,0,0,0,174,139,4845,0,0,54382,0,2224,49.41239,87.2364296,0,0,157161,217842,0,182408,247434,5019,37.8240396,0,50,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,0,0,0,0,120,120,4451,0,0,62016,0,70,46.85943,74.6920098,0,0,138068,188467,0,164147,218326,4571,27.8325798,0,51,0,0,0,NA
2025-2026,April,29,TAMIL NADU,2902,TIRUVALLUR,505022,256.992767143581,4,169,0,610,9,11335,76953,25578,117926,3259,8587,115.27556,313.0392041,15442,15654,264579,310590,0,309290,375743,11945,197.7636441,69935,39,19,19.78,100,NA
2025-2026,April,29,TAMIL NADU,2907,SALEM,324582,1735.63216997923,4,26,58.4620205,675,104,12809,6742,989,80925,311,30092,99.08186,274.5602014,1402,1425,340981,422295,0,437194,530122,13484,117.0163209,6045,57,9.94,7.37,100,NA
2025-2026,April,29,TAMIL NADU,2909,DHARMAPURI,300693,1218.77052032842,5,13,3.25305,399,105,9104,10109,1253,37698,582,8344,73.78478,200.2433419,1836,1889,241767,276393,0,276808,313793,9503,123.2055119,9304,55,32,25.31,100,NA
2025-2026,April,29,TAMIL NADU,2912,THE NILGIRIS,69877,564.737837837838,5,7,0,190,3,2122,2960,1067,11411,161,3464,25.59823,42.31447,566,582,30357,38694,0,55435,67745,2312,16.71624,2394,83,22.04,22.47,100,NA
2025-2026,April,29,TAMIL NADU,2917,KARUR,201390,1186.97029082774,5,82,0,238,2,5631,15645,3270,36326,0,25,41.91972,227.621222,2897,2978,123781,154526,0,142650,177290,5869,185.701502,13766,71,53,57.11,100,NA
2025-2026,April,29,TAMIL NADU,2921,THENI,129802,1473.47097808184,4,21,0,518,12,2439,7893,2231,24753,12,166,38.99556,155.2966243,1742,1802,83472,101519,0,114294,135437,2957,116.3010643,6880,36,75.96,70.99,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,587.628862538101,5,30,0,277,30,4572,13451,3303,62098,0,71,57.02402,136.0659783,2444,2584,138364,188859,0,164190,218440,4849,79.0419583,10989,53,15.74,10.43,100,NA
2025-2026,April,29,TAMIL NADU,2938,MAYILADUTHURAI,134945,366.729226067936,5,20,0,241,13,5380,31088,12261,106380,15,275,44.8216,158.8303818,5336,6030,153074,233174,0,161625,242803,5621,114.0087818,24768,46,40.03,36.47,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,748.437408791717,5,60,0,2223,261,8768,30233,7593,149610,601,27597,201.89808,428.1731618,5165,5556,511982,655392,0,540297,685939,10991,226.2750818,24607,41,11.66,7.29,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,590.923731309809,5,30,0,277,30,4568,13376,3273,62098,0,71,57.02402,136.0659783,2421,2561,138363,188858,0,164190,218440,4845,79.0419583,10914,53,15.77,10.44,100,NA
2025-2026,April,29,TAMIL NADU,2906,TIRUVANNAMALAI,917071,1364.46551541926,5,20,0,2150,346,8691,11544,2811,149603,286,27597,201.89808,359.4119791,2147,2286,511969,655369,0,540284,685917,10841,157.5138991,9682,41,9.06,4.67,100,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,455.863109230528,4,41,0.04995,556,42,4836,12762,3194,63355,649,20751,77.43973,135.66693,3105,3138,181188,226279,0,220187,276169,5392,58.17725,11434,45,14.96,27.99,100,NA
2025-2026,April,29,TAMIL NADU,2913,THANJAVUR,266872,563.745570321152,4,12,0,1527,227,8124,7224,1540,116646,2,118,126.41163,167.13661,1480,1544,271584,365616,0,297413,394218,9651,40.72498,6105,37,30.42,0,100,NA
2025-2026,April,29,TAMIL NADU,2914,NAGAPATTINAM,150879,2990.43222320638,6,0,0,982,43,3959,2258,762,82616,12,249,42.56705,110.0910096,369,422,106440,164303,0,119315,179604,4941,67.5239596,1866,67,0.11,0,100,NA
2025-2026,April,29,TAMIL NADU,2915,TIRUVARUR,173340,2505.28720508658,6,10,0,2578,132,6028,3696,1639,144930,0,39,91.49243,184.0878451,532,648,178839,270889,0,196946,292548,8606,92.5954151,2612,42,36.86,0,100,NA
2025-2026,April,29,TAMIL NADU,2921,THENI,129802,7901.01911092985,4,2,0,488,13,2458,1226,550,24751,0,165,36.37624,133.2427343,271,282,83466,101510,0,114276,135416,2946,96.8664943,1032,36,17.52,3.16,100,NA
2025-2026,April,29,TAMIL NADU,2925,SIVAGANGAI,431184,4541.39224063843,3,3,0,203,141,9692,1629,547,45556,0,19,135.73031,209.7095896,462,466,185964,220751,0,201946,238250,9895,73.9792796,1532,41,2.86,2.92,100,NA
2025-2026,April,29,TAMIL NADU,2936,TENKASI,254889,776.46020582908,4,14,0,257,68,4508,6073,1695,62093,0,71,57.02402,104.1784483,1232,1299,138341,188819,0,164156,218370,4765,47.1544283,4824,53,16.92,0.23,100,NA
2025-2026,April,29,TAMIL NADU,2904,VILLUPURAM,565553,1261.51977432404,5,25,3.9974,800,303,9882,9394,3767,176376,345,6850,167.49232,289.9968876,1842,1968,427936,598103,0,458174,640466,10682,118.5071676,7908,42,10.54,1.98,100,NA
2025-2026,April,29,TAMIL NADU,2905,VELLORE,181630,9531.36817638266,2,2,0,512,85,7657,669,134,37681,1,4586,46.97269,110.7375431,246,260,132271,154636,0,145866,184552,8169,63.7648531,584,69,2.44,27.3,100,NA
2025-2026,April,29,TAMIL NADU,2908,NAMAKKAL,182615,745.355805958747,4,12,0.04995,501,109,4890,5236,1121,63355,588,20751,77.43973,116.51651,1261,1272,181183,226273,0,220186,276166,5391,39.02683,4717,45,11.15,8.33,100,NA
2025-2026,April,29,TAMIL NADU,2917,KARUR,201390,5894.39975429975,4,9,0,207,3,5639,2442,381,36323,0,25,41.91972,185.860962,491,495,123776,154519,0,142650,177290,5846,143.941242,2139,72,24.13,35.01,100,NA
2025-2026,April,29,TAMIL NADU,2920,MADURAI,500069,4059.54047927461,4,35,0,1076,96,11957,6948,1239,66755,0,659,107.43493,389.4918025,1405,1449,271733,319591,0,299393,360076,13033,282.0568725,6094,60,13.35,3.47,100,NA
2025-2026,April,29,TAMIL NADU,2926,TIRUNELVELI,245376,6229777.91,1,0,0,51,20,4811,1,0,33734,0,138,56.54516,118.8429391,1,1,96062,113105,0,119733,138957,4862,62.2977791,1,31,3.77,0.93,100,NA
2025-2026,April,29,TAMIL NADU,2927,THOOTHUKKUDI,275758,544.616970282551,4,53,0,264,106,5439,19147,6515,58577,5,154,80.76864,185.0464513,3950,4044,149905,177266,0,170919,211735,5703,104.2778113,16909,19,27.58,3.98,100,NA
2025-2026,April,29,TAMIL NADU,2928,KANNIYAKUMARI,53165,87.773401826484,6,3,0,67,81,2152,1752,151,4094,24,225,40.30187,41.83966,284,313,38122,47153,0,76827,94343,2219,1.53779,1391,55,5.58,0,100,NA
